YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
1975,AUS,278,7,10,PAK,WON,LEEDS,WEST INDIES
1975,AUS,328,5,4,SL,WON,LONDON,WEST INDIES
1975,AUS,192,10,3,WI,LOST,LONDON,WEST INDIES
1975,AUS,94,6,10,ENG,WON,LEEDS,WEST INDIES
1975,AUS,274,10,8,WI,LOST,LONDON,WEST INDIES
1975,ENG,334,4,3,IND,WON,LONDON,WEST INDIES
1975,ENG,266,6,10,NZ,WON,NOTTHINGHAM,WEST INDIES
1975,ENG,290,5,10,EA,WON,BIRMINGHAM,WEST INDIES
1975,ENG,93,10,6,AUS,LOST,LEEDS,WEST INDIES
1975,IND,132,3,4,ENG,LOST,LONDON,WEST INDIES
1975,IND,123,0,10,EA,WON,LEEDS,WEST INDIES
1975,IND,230,10,6,NZ,LOST,MANCHESTER,WEST INDIES
1975,PAK,205,10,7,AUS,LOST,LEEDS,WEST INDIES
1975,PAK,266,7,9,WI,LOST,BIRMINGHAM,WEST INDIES
1975,PAK,330,6,10,SL,WON,NOTTHINGHAM,WEST INDIES
1975,SL,86,10,1,WI,LOST,MANCHESTER,WEST INDIES
1975,SL,276,4,5,AUS,LOST,LONDON,WEST INDIES
1975,SL,138,10,6,PAK,LOST,NOTTHINGHAM,WEST INDIES
1975,WI,87,1,10,SL,WON,MANCHESTER,WEST INDIES
1975,WI,267,9,7,PAK,WON,BIRMINGHAM,WEST INDIES
1975,WI,195,3,10,AUS,WON,LONDON,WEST INDIES
1975,WI,159,5,10,NZ,WON,LONDON,WEST INDIES
1975,WI,291,8,10,AUS,WON,LONDON,WEST INDIES
1975,EA,128,5,8,NZ,LOST,BIRMINGHAM,WEST INDIES
1975,EA,120,10,0,IND,LOST,LEEDS,WEST INDIES
1975,EA,94,10,5,ENG,LOST,BIRMINGHAM,WEST INDIES
1975,NZ,309,5,8,EA,WON,BIRMINGHAM,WEST INDIES
1975,NZ,186,10,6,ENG,LOST,NOTTHINGHAM,WEST INDIES
1975,NZ,233,6,10,IND,WON,MANCHESTER,WEST INDIES
1975,NZ,158,10,5,WI,LOST,LONDON,WEST INDIES
1979,IND,190,10,1,WI,LOST,BIRMINGHAM,WEST INDIES
1979,IND,182,10,2,NZ,LOST,LEEDS,WEST INDIES
1979,IND,238,10,5,SL,LOST,MANCHESTER,WEST INDIES
1979,WI,190,10,1,IND,WON,BIRMINGHAM,WEST INDIES
1979,WI,NA,NR,NR,SL,NR,LONDON,WEST INDIES
1979,WI,244,7,9,NZ,WON,NOTTINGHAM,WEST INDIES
1979,WI,293,6,10,PAK,WON,LONDON,WEST INDIES
1979,WI,286,9,10,ENG,WON,LONDON,WEST INDIES
1979,NZ,190,1,10,SL,WON,NOTTINGHAM,WEST INDIES
1979,NZ,183,2,10,IND,WON,LEEDS,WEST INDIES
1979,NZ,212,9,7,WI,LOST,NOTTINGHAM,WEST INDIES
1979,NZ,212,9,8,ENG,LOST,MANCHESTER,WEST INDIES
1979,SL,189,10,1,NZ,LOST,NOTTINGHAM,WEST INDIES
1979,SL,NA,NR,NR,WI,NR,LONDON,WEST INDIES
1979,SL,238,5,10,IND,WON,MANCHESTER,WEST INDIES
1979,ENG,160,4,9,AUS,WON,LONDON,WEST INDIES
1979,ENG,46,2,10,CAN,WON,MANCHESTER,WEST INDIES
1979,ENG,165,9,10,PAK,WON,LEEDS,WEST INDIES
1979,ENG,221,8,9,NZ,WON,MANCHESTER,WEST INDIES
1979,ENG,194,9,10,WI,LOST,LONDON,WEST INDIES
1979,AUS,159,9,4,ENG,LOST,LONDON,WEST INDIES
1979,AUS,197,10,7,PAK,LOST,NOTTINGHAM,WEST INDIES
1979,AUS,106,3,10,CAN,WON,BIRMINGHAM,WEST INDIES
1979,CAN,139,9,2,PAK,LOST,LEEDS,WEST INDIES
1979,CAN,45,10,2,ENG,LOST,MANCHESTER,WEST INDIES
1979,CAN,105,10,3,AUS,LOST,BIRMINGHAM,WEST INDIES
1979,PAK,140,2,9,CAN,WON,LEEDS,WEST INDIES
1979,PAK,286,7,10,AUS,WON,NOTTINGHAM,WEST INDIES
1979,PAK,151,10,9,ENG,LOST,LEEDS,WEST INDIES
1979,PAK,250,10,6,WI,LOST,LONDON,WEST INDIES
1983,ENG,322,6,10,NZ,WON,LONDON,INDIA
1983,ENG,339,9,10,SL,WON,TAUNTON,INDIA
1983,ENG,199,2,8,PAK,WON,LONDON,INDIA
1983,ENG,234,10,8,NZ,LOST,BIRMINGHAM,INDIA
1983,ENG,233,3,8,PAK,WON,MANCHESTER,INDIA
1983,ENG,137,1,10,SL,WON,LEEDS,INDIA
1983,ENG,213,10,4,IND,LOST,MANCHESTER,INDIA
1983,NZ,216,10,6,ENG,LOST,LONDON,INDIA
1983,NZ,238,9,10,PAK,WON,BIRMINGHAM,INDIA
1983,NZ,209,5,10,SL,WON,BRISTOL,INDIA
1983,NZ,238,9,10,ENG,WON,BIRMINGHAM,INDIA
1983,NZ,181,10,7,SL,LOST,DERBY,INDIA
1983,NZ,250,10,3,PAK,LOST,NOTTINGHAM,INDIA
1983,PAK,338,5,9,SL,WON,SWANSEA,INDIA
1983,PAK,186,10,9,NZ,LOST,BIRMINGHAM,INDIA
1983,PAK,193,8,2,ENG,LOST,LONDON,INDIA
1983,PAK,235,7,10,SL,WON,LEEDS,INDIA
1983,PAK,232,8,3,ENG,LOST,MANCHESTER,INDIA
1983,PAK,261,3,10,NZ,WON,NOTTINGHAM,INDIA
1983,PAK,184,8,2,WI,LOST,LONDON,INDIA
1983,SL,288,9,5,PAK,LOST,SWANSEA,INDIA
1983,SL,286,10,9,ENG,WON,TAUNTON,INDIA
1983,SL,206,10,5,NZ,LOST,BRISTOL,INDIA
1983,SL,224,10,7,PAK,LOST,LEEDS,INDIA
1983,SL,184,7,10,NZ,WON,DERBY,INDIA
1983,SL,136,10,1,ENG,LOST,LEEDS,INDIA
1983,AUS,226,7,6,ZIM,LOST,NOTTINGHAM,INDIA
1983,AUS,151,10,9,WI,LOST,LEEDS,INDIA
1983,AUS,320,9,10,IND,WON,NOTTINGHAM,INDIA
1983,AUS,272,7,10,ZIM,WON,SOUTHAMPTON,INDIA
1983,AUS,273,6,3,WI,LOST,LONDON,INDIA
1983,AUS,129,10,10,IND,LOST,CHELMSFORD,INDIA
1983,ZIM,239,6,7,AUS,WON,NOTTINGHAM,INDIA
1983,ZIM,155,10,5,IND,LOST,LEICESTER,INDIA
1983,ZIM,217,7,2,WI,LOST,WORCESTER,INDIA
1983,ZIM,240,10,7,AUS,LOST,SOUTHAMPTON,INDIA
1983,ZIM,235,10,8,IND,LOST,TURNBRIDGE WELLS,INDIA
1983,ZIM,171,10,0,WI,LOST,BIRMINGHAM,INDIA
1983,IND,262,8,10,WI,WON,MANCHESTER,INDIA
1983,IND,157,5,10,ZIM,WON,LEICESTER,INDIA
1983,IND,158,10,9,AUS,LOST,NOTTINGHAM,INDIA
1983,IND,216,10,9,WI,LOST,LONDON,INDIA
1983,IND,266,8,10,ZIM,WON,TURNBRIDGE WELLS,INDIA
1983,IND,247,10,10,AUS,WON,CHELMSFORD,INDIA
1983,IND,217,4,10,ENG,WON,MANCHESTER,INDIA
1983,IND,183,10,10,WI,WON,LONDON,INDIA
1983,WI,228,10,8,IND,LOST,MANCHESTER,INDIA
1983,WI,252,9,10,AUS,WON,LEEDS,INDIA
1983,WI,218,2,7,ZIM,WON,WORCESTER,INDIA
1983,WI,282,9,10,IND,WON,LONDON,INDIA
1983,WI,276,3,6,AUS,WON,LONDON,INDIA
1983,WI,172,0,10,ZIM,WON,BIRMINGHAM,INDIA
1983,WI,188,2,8,PAK,WON,LONDON,INDIA
1983,WI,140,10,10,IND,LOST,LONDON,INDIA
1987,PAK,267,6,10,SL,WON,HYDERABAD,AUSTRALIA
1987,PAK,239,7,10,ENG,WON,RAWALPINDI,AUSTRALIA
1987,PAK,216,9,10,WI,WON,LAHORE,AUSTRALIA
1987,PAK,247,3,9,ENG,WON,KARACHI,AUSTRALIA
1987,PAK,297,7,8,SL,WON,FAISALABAD,AUSTRALIA
1987,PAK,230,9,7,WI,LOST,KARACHI,AUSTRALIA
1987,PAK,249,10,8,AUS,LOST,LAHORE,AUSTRALIA
1987,SL,252,10,6,PAK,LOST,HYDERABAD,AUSTRALIA
1987,SL,169,4,4,WI,LOST,KARACHI,AUSTRALIA
1987,SL,158,8,4,ENG,LOST,PESHAWAR,AUSTRALIA
1987,SL,211,8,8,WI,LOST,KANPUR,AUSTRALIA
1987,SL,184,8,7,PAK,LOST,FAISALABAD,AUSTRALIA
1987,SL,218,7,2,ENG,LOST,PUNE,AUSTRALIA
1987,ENG,246,8,7,WI,WON,GUJRANWALA,AUSTRALIA
1987,ENG,221,10,7,PAK,LOST,RAWALPINDI,AUSTRALIA
1987,ENG,296,4,8,SL,WON,PESHAWAR,AUSTRALIA
1987,ENG,244,9,3,PAK,LOST,KANPUR,AUSTRALIA
1987,ENG,269,5,10,WI,WON,JAIPUR,AUSTRALIA
1987,ENG,219,2,7,SL,WON,PUNE,AUSTRALIA
1987,ENG,254,6,10,IND,WON,MUMBAI,AUSTRALIA
1987,ENG,246,8,5,AUS,LOST,KOLKATA,AUSTRALIA
1987,WI,243,7,8,ENG,LOST,GUJRANWALA,AUSTRALIA
1987,WI,360,4,4,SL,WON,KANPUR,AUSTRALIA
1987,WI,216,10,9,PAK,LOST,LAHORE,AUSTRALIA
1987,WI,236,8,8,SL,WON,KANPUR,AUSTRALIA
1987,WI,235,10,5,ENG,LOST,JAIPUR,AUSTRALIA
1987,WI,258,7,9,PAK,WON,KARACHI,AUSTRALIA
1987,IND,269,10,6,AUS,LOST,CHENNAI,AUSTRALIA
1987,IND,252,7,8,NZ,WON,BENGALURU,AUSTRALIA
1987,IND,136,2,5,ZIM,WON,MUMBAI,AUSTRALIA
1987,IND,289,6,10,AUS,WON,DELHI,AUSTRALIA
1987,IND,194,3,7,ZIM,WON,AHMEDABAD,AUSTRALIA
1987,IND,224,1,9,NZ,WON,NAGPUR,AUSTRALIA
1987,IND,219,10,6,ENG,LOST,MUMBAI,AUSTRALIA
1987,AUS,270,6,10,IND,WON,CHENNAI,AUSTRALIA
1987,AUS,235,9,10,ZIM,WON,CHENNAI,AUSTRALIA
1987,AUS,199,4,9,NZ,WON,INDORE,AUSTRALIA
1987,AUS,289,6,10,IND,LOST,DELHI,AUSTRALIA
1987,AUS,251,8,10,NZ,WON,CHANDIGARH,AUSTRALIA
1987,AUS,266,5,6,ZIM,WON,CUTTACK,AUSTRALIA
1987,AUS,267,8,10,PAK,WON,LAHORE,AUSTRALIA
1987,AUS,253,5,8,ENG,WON,KOLKATA,AUSTRALIA
1987,NZ,242,7,10,ZIM,WON,HYDERABAD,AUSTRALIA
1987,NZ,236,8,7,IND,LOST,BENGALURU,AUSTRALIA
1987,NZ,196,9,4,AUS,LOST,INDORE,AUSTRALIA
1987,NZ,228,6,5,ZIM,WON,KOLKATA,AUSTRALIA
1987,NZ,234,10,8,AUS,LOST,CHANDIGARH,AUSTRALIA
1987,NZ,221,9,1,IND,LOST,NAGPUR,AUSTRALIA
1987,ZIM,239,10,7,NZ,LOST,HYDERABAD,AUSTRALIA
1987,ZIM,139,10,9,AUS,LOST,CHANDIGARH,AUSTRALIA
1987,ZIM,135,10,2,IND,LOST,MUMBAI,AUSTRALIA
1987,ZIM,227,5,6,NZ,LOST,KOLKATA,AUSTRALIA
1987,ZIM,191,7,3,IND,LOST,AHMEDABAD,AUSTRALIA
1987,ZIM,196,6,5,AUS,LOST,CUTTACK,AUSTRALIA
1992,NZ,248,6,10,AUS,WON,AUCKLAND,PAKISTAN
1992,NZ,210,4,9,SL,WON,HAMILTON,PAKISTAN
1992,NZ,191,3,7,SA,WON,AUCKLAND,PAKISTAN
1992,NZ,162,3,7,ZIM,WON,NAPIER,PAKISTAN
1992,NZ,206,5,7,WI,WON,AUCKLAND,PAKISTAN
1992,NZ,231,6,6,IND,WON,DUNEDIN,PAKISTAN
1992,NZ,201,3,8,ENG,WON,WELLINGTON,PAKISTAN
1992,NZ,166,10,3,PAK,LOST,CHRISTCHURCH,PAKISTAN
1992,NZ,262,7,6,PAK,LOST,AUCKLAND,PAKISTAN
1992,AUS,211,10,6,NZ,LOST,AUCKLAND,PAKISTAN
1992,AUS,170,9,1,SA,LOST,SYDNEY,PAKISTAN
1992,AUS,237,9,10,IND,WON,BRISBANE,PAKISTAN
1992,AUS,171,10,2,ENG,LOST,SYDNEY,PAKISTAN
1992,AUS,190,3,9,SL,WON,ADELAIDE,PAKISTAN
1992,AUS,172,10,9,PAK,LOST,PERTH,PAKISTAN
1992,AUS,265,6,10,ZIM,WON,HOBART,PAKISTAN
1992,AUS,216,6,10,WI,WON,MELBOURNE,PAKISTAN
1992,ENG,236,9,10,IND,WON,PERTH,PAKISTAN
1992,ENG,160,4,10,WI,WON,MELBOURNE,PAKISTAN
1992,ENG,NR,NR,NR,PAK,NR,ADELAIDE,PAKISTAN
1992,ENG,173,2,10,AUS,WON,SYDNEY,PAKISTAN
1992,ENG,280,6,10,SL,WON,BALLARAT,PAKISTAN
1992,ENG,226,7,4,SA,WON,MELBOURNE,PAKISTAN
1992,ENG,200,8,3,NZ,LOST,WELLINGTON,PAKISTAN
1992,ENG,125,10,10,ZIM,LOST,ALBURY,PAKISTAN
1992,ENG,252,6,6,SA,WON,SYDNEY,PAKISTAN
1992,ENG,227,10,6,PAK,LOST,MELBOURNE,PAKISTAN
1992,IND,227,10,9,ENG,LOST,PERTH,PAKISTAN
1992,IND,NR,NR,NR,SL,NR,MACKAY,PAKISTAN
1992,IND,234,10,9,AUS,LOST,BRISBANE,PAKISTAN
1992,IND,216,7,10,PAK,WON,SYDNEY,PAKISTAN
1992,IND,203,7,1,ZIM,WON,HAMILTON,PAKISTAN
1992,IND,197,10,5,WI,LOST,WELLINGTON,PAKISTAN
1992,IND,230,6,6,NZ,LOST,DUNEDIN,PAKISTAN
1992,IND,180,6,4,SA,LOST,ADELAIDE,PAKISTAN
1992,SL,313,7,4,ZIM,WON,NEW PLYMOUTH,PAKISTAN
1992,SL,206,9,4,NZ,LOST,HAMILTON,PAKISTAN
1992,SL,NR,NR,NR,IND,NR,MACKAY,PAKISTAN
1992,SL,198,7,10,SA,WON,WELLINGTON,PAKISTAN
1992,SL,189,9,3,AUS,LOST,ADELAIDE,PAKISTAN
1992,SL,174,10,6,ENG,LOST,BALLARAT,PAKISTAN
1992,SL,177,9,8,WI,LOST,BERRI,PAKISTAN
1992,SL,212,6,6,PAK,LOST,PERTH,PAKISTAN
1992,ZIM,312,4,7,SL,LOST,NEW PLYMOUTH,PAKISTAN
1992,ZIM,201,7,4,PAK,LOST,HAMILTON,PAKISTAN
1992,ZIM,189,7,8,WI,LOST,BRISBANE,PAKISTAN
1992,ZIM,105,7,3,NZ,LOST,NAPIER,PAKISTAN
1992,ZIM,104,1,7,IND,LOST,HAMILTON,PAKISTAN
1992,ZIM,163,10,3,SA,LOST,CANBERRA,PAKISTAN
1992,ZIM,137,10,6,AUS,LOST,HOBART,PAKISTAN
1992,ZIM,134,10,10,ENG,WON,ALBURY,PAKISTAN
1992,PAK,220,2,0,WI,LOST,MELBOURNE,PAKISTAN
1992,PAK,254,4,7,ZIM,WON,HOBART,PAKISTAN
1992,PAK,NR,NR,NR,ENG,NR,ADELAIDE,PAKISTAN
1992,PAK,173,10,7,IND,LOST,SYDNEY,PAKISTAN
1992,PAK,173,8,7,SA,LOST,BRISBANE,PAKISTAN
1992,PAK,220,9,10,AUS,WON,PERTH,PAKISTAN
1992,PAK,216,6,6,SL,WON,PERTH,PAKISTAN
1992,PAK,167,3,10,NZ,WON,CHRISTCHURCH,PAKISTAN
1992,PAK,264,6,7,NZ,WON,AUCKLAND,PAKISTAN
